,0,1
31,师,"['HSK 1급 단어', '#/entry/zhko/0b4f3a75c9384a2188c67e443a9a68df', 'HSK 4급 단어', '#/entry/zhko/ab913f507efa481f834f9483234f4a15', 'HSK 5급 단어', '#/entry/zhko/a540d332b59e4091a7a9eef67bc1b183', 'HSK 6급 단어', '#/entry/zhko/291325ba4ef442609d60f275414e45b1']"
32,原,"['HSK 4급 단어', '#/entry/zhko/4872116d0c58413dbc978b3469a7b40e', '#/entry/zhko/4f010a0b382e48d68eb27dd5936baf61', '#/entry/zhko/8254ddc87904422dba97092e083c1f87', 'HSK 5급 단어', '#/entry/zhko/7c6a295977e6494387373cbb34efe072', '#/entry/zhko/578abf19920b4623a0f1905cd5e8ccb9', 'HSK 6급 단어', '#/entry/zhko/1e355d6bbb1f4809bd45346a5404eca4', '#/entry/zhko/23c42fd5cab24be3a1ec9de9d24a1dd5', '#/entry/zhko/6ab3d3d4a9cc4d2ba9f65a9d8ff3649a', '#/entry/zhko/0fd48acda46f442ebe857197c34552b3', '#/entry/zhko/5deecb2fc3d6496886cc0423b620eaba']"
33,酒,"['HSK 3급 단어', '#/entry/zhko/3fd552ab6be94b7a9bd3fd90df9eb260', 'HSK 5급 단어', '#/entry/zhko/22938c876ead490c8cf987bf272ed265', 'HSK 6급 단어', '#/entry/zhko/38a2dc125d5f4c698f898cce7f88e4cc', '#/entry/zhko/fb07b037fa074891be501997a0481984']"
34,周,"['HSK 3급 단어', '#/entry/zhko/c53435433e1c41dc8277c6591adfeb56', 'HSK 4급 단어', '#/entry/zhko/433884d5e5b44a02b33d5667fb39dbc1', 'HSK 5급 단어', '#/entry/zhko/7aab6b7be44e4691a076135452158d39', 'HSK 6급 단어', '#/entry/zhko/6632567cbe0a4e0c85f224f7bf3f83a6', '#/entry/zhko/610a34fe55b640809db81a1414a6e996', '#/entry/zhko/a83800da43b741fba21df46258dc0502', '#/entry/zhko/f59553e83bf8441a9b70cc72043eb90d', '#/entry/zhko/46ccced7931a49eca9e4f49566ec349e', '#/entry/zhko/b3baa1a3081e40acadedce096fb585a3', '#/entry/zhko/da3cf2df3afd47c2bbbf37c71c751899']"
35,星,"['HSK 1급 단어', '#/entry/zhko/c202b65ab2b04646bd90bd7bad00aea2', 'HSK 5급 단어', '#/entry/zhko/57b6d821b45c4b60b89742b2f799e439', 'HSK 6급 단어', '#/entry/zhko/22f9a79bacf24628af6ccfd37cac70e1', '#/entry/zhko/eaade97be8ac4114a8b6ef3d63975f39']"
36,识,"['HSK 5급 단어', '#/entry/zhko/00bbd79976fe4efb87ad11f23f7b4e36', 'HSK 6급 단어', '#/entry/zhko/4b8b9082a6714660855515af640ed365', '#/entry/zhko/a6d51ddf93de4eeb86a24b54ac2b9ac7', '#/entry/zhko/21016d8ae4274902a410d709baf8d6c6']"
37,赛,"['HSK 3급 단어', '#/entry/zhko/187ed4db6ea14f2eadf14fa4ecd7ca5f', 'HSK 5급 단어', '#/entry/zhko/6da517d8a0054ceb8915e67b80fb8d94', 'HSK 6급 단어', '#/entry/zhko/8cdb19f281234473a317102133238722']"
38,救,"['HSK 5급 단어', '#/entry/zhko/51127f84e2e246c9be924b4ed765016b', 'HSK 6급 단어', '#/entry/zhko/8e3869c062d142949b722e9f88bb43f9', '#/entry/zhko/0ccac1907a1c49ec80f99e8a54ebefbd', '#/entry/zhko/e4788ca1327a4d88b0c523bf0ec1aade']"
39,底,"['HSK 4급 단어', '#/entry/zhko/f8fbfbed41f04317b9bc24f87944d6d3', 'HSK 5급 단어', '#/entry/zhko/6340d3b4bb7548f48ba7a4152c2956db', 'HSK 6급 단어', '#/entry/zhko/967c391d44c74fb090ca78803bffdf37']"
40,棒,"['HSK 6급 단어', '#/entry/zhko/41a502f266054a56bcaeebea46fd7799']"
41,须,"['HSK 3급 단어', '#/entry/zhko/6a8df52ff2f0451fb923be5ab2d71c04', 'HSK 6급 단어', '#/entry/zhko/7b721d650b4547ad9ca031cf566cb4b8', '#/entry/zhko/41f57f61f4ef442fa234c906c2f25270']"
42,收,"['HSK 4급 단어', '#/entry/zhko/111eb5c38cf84559a66bb374a5d65a60', '#/entry/zhko/9c7fbde5d69d42db900a962ff5a0fae2', 'HSK 5급 단어', '#/entry/zhko/4fe60033175b48e98105751b60967a56', '#/entry/zhko/69c1a600286e49d1b059353375d682ab', 'HSK 6급 단어', '#/entry/zhko/fc2fe184e2a946408530a51d28012249', '#/entry/zhko/0e15b73201204ecc93515dfcae4fda4f', '#/entry/zhko/c261630eb8b14a7f8731dfd558f90034', '#/entry/zhko/33fb4828479c4629b4e9aa2022b54689', '#/entry/zhko/a4a63e6490dc4747b5a4fbccf5dd3176', '#/entry/zhko/8e7dc71eb8474365a25e83cfed935e77', '#/entry/zhko/a610cb647cde43df894ab5c99e206814', '#/entry/zhko/ae16bfc029294412a7f0be38d53d59f7', '#/entry/zhko/0d1b5da6dbee4c9fb22d98b17375bfa3', '#/entry/zhko/b9493fd9508842aea3eceaaeaf5ba9fa']"
